rank,name,elo,peak_elo,peak_date,fights,last_fight,elo_vs_peak
1,Islam Makhachev,1806.53,1806.53,2025-11-15,18,2025-11-15,0.0
2,Charles Oliveira,1743.43,1757.2,2022-05-07,37,2026-03-07,-13.76
3,Ilia Topuria,1725.39,1725.39,2025-06-28,9,2025-06-28,0.0
4,Merab Dvalishvili,1718.07,1750.04,2025-10-04,17,2025-12-06,-31.97
5,Khamzat Chimaev,1716.21,1716.21,2025-08-16,9,2025-08-16,0.0
6,Valentina Shevchenko,1713.13,1713.13,2025-11-15,19,2025-11-15,0.0
7,Alexander Volkanovski,1708.52,1750.07,2022-07-02,18,2026-01-31,-41.55
8,Max Holloway,1707.1,1743.57,2018-12-08,32,2026-03-07,-36.47
9,Alex Pereira,1704.51,1704.51,2025-10-04,12,2025-10-04,0.0
10,Petr Yan,1692.03,1692.03,2025-12-06,16,2025-12-06,0.0
11,Kamaru Usman,1691.93,1789.56,2021-11-06,19,2025-06-14,-97.63
12,Dricus Du Plessis,1691.39,1715.33,2025-02-08,10,2025-08-16,-23.94
13,Justin Gaethje,1690.7,1690.7,2026-01-24,15,2026-01-24,0.0
14,Magomed Ankalaev,1688.59,1714.79,2025-03-08,16,2025-10-04,-26.2
15,Aljamain Sterling,1683.38,1713.5,2023-05-06,22,2025-08-23,-30.12
16,Belal Muhammad,1680.91,1736.48,2024-07-27,21,2025-11-22,-55.57
17,Nassourdine Imavov,1677.2,1677.2,2025-09-06,12,2025-09-06,0.0
18,Ian Machado Garry,1676.52,1676.52,2025-11-22,11,2025-11-22,0.0
19,Movsar Evloev,1673.07,1683.49,2024-12-07,9,2024-12-07,-10.42
20,Ciryl Gane,1672.37,1672.37,2024-12-07,13,2025-10-25,0.0
21,Shavkat Rakhmonov,1670.8,1681.08,2024-12-07,7,2024-12-07,-10.28
22,Arman Tsarukyan,1670.56,1671.98,2024-04-13,12,2025-11-22,-1.42
23,Jon Jones,1670.18,1768.72,2020-02-08,24,2024-11-16,-98.54
24,Jack Della Maddalena,1669.37,1682.54,2025-05-10,9,2025-11-15,-13.17
25,Carlos Ulberg,1668.78,1668.78,2025-09-27,10,2025-09-27,0.0
26,Alexander Volkov,1667.99,1669.28,2024-06-22,18,2025-10-25,-1.29
27,Umar Nurmagomedov,1666.37,1666.37,2026-01-24,9,2026-01-24,0.0
28,Michael Morales,1666.01,1666.01,2025-11-15,7,2025-11-15,0.0
29,Lerone Murphy,1665.63,1665.63,2025-08-16,10,2025-08-16,0.0
30,Sean O'Malley,1664.31,1685.2,2024-03-09,15,2026-01-24,-20.89
31,Sean Strickland,1663.83,1664.41,2023-09-09,24,2026-02-21,-0.58
32,Brendan Allen,1663.55,1678.27,2024-04-06,18,2025-10-18,-14.72
33,Alexandre Pantoja,1663.51,1692.33,2025-06-28,18,2025-12-06,-28.82
34,Curtis Blaydes,1662.4,1691.73,2022-07-23,20,2025-06-21,-29.33
35,Dustin Poirier,1661.97,1735.41,2021-07-10,32,2025-07-19,-73.45
36,Tom Aspinall,1661.87,1670.99,2024-07-27,10,2025-10-25,-9.12
37,Zhang Weili,1658.34,1679.25,2025-02-08,13,2025-11-15,-20.9
38,Natalia Silva,1657.09,1657.09,2026-01-24,8,2026-01-24,0.0
39,Erin Blanchfield,1655.49,1655.49,2025-11-15,9,2025-11-15,0.0
40,Joshua Van,1653.76,1653.76,2025-12-06,10,2025-12-06,0.0
41,Leon Edwards,1653.33,1738.08,2023-12-16,20,2025-11-15,-84.75
42,Cory Sandhagen,1650.92,1670.02,2023-08-05,16,2025-10-04,-19.1
43,Manon Fiorot,1650.27,1650.27,2025-10-18,9,2025-10-18,0.0
44,Sean Brady,1648.46,1674.48,2025-03-22,10,2025-11-15,-26.03
45,Waldo Cortes-Acosta,1647.8,1647.8,2026-01-24,12,2026-01-24,0.0
46,Mario Bautista,1647.07,1651.4,2025-06-07,14,2026-02-07,-4.33
47,Benoit Saint Denis,1646.78,1646.78,2026-01-31,12,2026-01-31,0.0
48,Robert Whittaker,1644.59,1708.87,2021-04-17,24,2025-07-26,-64.28
49,Joaquin Buckley,1641.57,1662.92,2024-12-14,16,2025-06-14,-21.35
50,Anthony Hernandez,1640.71,1666.15,2025-08-09,12,2026-02-21,-25.44
51,Carlos Prates,1640.29,1640.29,2025-11-15,7,2025-11-15,0.0
52,Caio Borralho,1639.54,1641.94,2024-08-24,9,2026-03-07,-2.4
53,Tatsuro Taira,1639.53,1639.53,2025-12-06,9,2025-12-06,0.0
54,Grant Dawson,1639.49,1674.0,2025-01-18,14,2025-12-06,-34.51
55,Sergei Pavlovich,1639.0,1639.0,2025-08-23,11,2025-08-23,0.0
56,Gregory Rodrigues,1637.3,1637.3,2026-03-07,13,2026-03-07,0.0
57,Amanda Nunes,1636.76,1716.49,2021-03-06,18,2023-06-10,-79.73
58,Norma Dumont,1635.36,1635.36,2025-11-01,11,2025-11-01,0.0
59,Deiveson Figueiredo,1633.09,1689.62,2024-08-03,21,2026-01-24,-56.53
60,Joel Alvarez,1632.58,1632.58,2025-10-11,10,2025-10-11,0.0
61,Maycee Barber,1629.84,1630.61,2024-03-09,12,2025-12-06,-0.77
62,Steve Garcia,1629.17,1629.17,2025-11-01,10,2025-11-01,0.0
63,Aiemann Zahabi,1627.79,1627.79,2025-10-18,10,2025-10-18,0.0
64,Song Yadong,1626.47,1654.26,2023-12-09,16,2026-01-24,-27.79
65,Jiri Prochazka,1625.91,1625.91,2025-10-04,8,2025-10-04,0.0
66,Israel Adesanya,1625.49,1728.48,2022-07-02,18,2025-02-01,-102.98
67,Mateusz Gamrot,1622.94,1641.8,2024-03-09,12,2025-10-11,-18.86
68,Beneil Dariush,1622.88,1698.74,2021-05-15,25,2025-11-15,-75.86
69,Gabriel Bonfim,1622.57,1622.57,2025-11-08,7,2025-11-08,0.0
70,Rinat Fakhretdinov,1621.78,1621.78,2025-09-06,7,2025-09-06,0.0
