fighter_id,name,fight_num,date,opponent,result,method,elo_before,elo_after,elo_change
d1053e55f00e53fe,AJ Cunningham,1,2024-03-02,Ludovit Klein,LOSS,KO/TKO,1500.0,1480.93,-19.07
d1053e55f00e53fe,AJ Cunningham,2,2025-03-15,SuYoung You,LOSS,Decision - Unanimous,1480.93,1462.36,-18.56
009c4420727149ea,AJ Dobson,1,2022-02-12,Jacob Malkoun,LOSS,Decision - Unanimous,1500.0,1478.12,-21.88
009c4420727149ea,AJ Dobson,2,2022-10-22,Armen Petrosyan,LOSS,Decision - Unanimous,1478.12,1459.81,-18.31
009c4420727149ea,AJ Dobson,3,2023-08-12,Tafon Nchukwi,WIN,Decision - Unanimous,1459.81,1482.88,23.07
009c4420727149ea,AJ Dobson,4,2024-03-23,Edmen Shahbazyan,LOSS,KO/TKO,1482.88,1462.69,-20.19
725b1abc9a39d873,AJ Fletcher,1,2022-03-12,Matthew Semelsberger,LOSS,Decision - Unanimous,1500.0,1483.13,-16.87
725b1abc9a39d873,AJ Fletcher,2,2022-08-20,Ange Loosa,LOSS,Decision - Unanimous,1483.13,1460.74,-22.39
725b1abc9a39d873,AJ Fletcher,3,2023-02-18,Themba Gorimbo,WIN,Submission,1460.74,1487.18,26.44
725b1abc9a39d873,AJ Fletcher,4,2023-09-23,Bryan Battle,LOSS,Submission,1487.18,1470.03,-17.15
003d82fa384ca1d0,Aalon Cruz,1,2020-02-29,Spike Carlyle,LOSS,KO/TKO,1500.0,1477.0,-23.0
003d82fa384ca1d0,Aalon Cruz,2,2021-03-06,Uros Medic,LOSS,KO/TKO,1477.0,1456.02,-20.98
cf1a88371c8cb690,Aaron Brink,1,2000-11-17,Andrei Arlovski,LOSS,Submission,1500.0,1477.0,-23.0
34c2b3656f88f7ef,Aaron Phillips,1,2014-05-24,Sam Sicilia,LOSS,Decision - Unanimous,1500.0,1476.37,-23.63
34c2b3656f88f7ef,Aaron Phillips,2,2014-08-23,Matt Hobar,LOSS,Decision - Unanimous,1476.37,1454.31,-22.06
34c2b3656f88f7ef,Aaron Phillips,3,2020-07-15,Jack Shore,LOSS,Submission,1454.31,1437.11,-17.2
34c2b3656f88f7ef,Aaron Phillips,4,2023-04-15,Gaston Bolanos,LOSS,Decision - Unanimous,1437.11,1420.32,-16.79
5537efc6e496dd84,Aaron Pico,1,2025-08-16,Lerone Murphy,LOSS,KO/TKO,1500.0,1489.26,-10.74
f2c8ebbeafd45f2b,Aaron Riley,1,2002-05-10,Robbie Lawler,LOSS,Decision - Unanimous,1500.0,1478.0,-22.0
f2c8ebbeafd45f2b,Aaron Riley,2,2006-01-16,Spencer Fisher,LOSS,TKO - Doctor's Stoppage,1478.0,1458.93,-19.07
f2c8ebbeafd45f2b,Aaron Riley,3,2008-11-15,Jorge Gurgel,WIN,Decision - Unanimous,1458.93,1481.46,22.53
f2c8ebbeafd45f2b,Aaron Riley,4,2009-03-07,Shane Nelson,LOSS,KO/TKO,1481.46,1461.76,-19.71
