rank,name,peak_elo,peak_date,current_elo,elo_vs_peak,fights,last_fight
1,Islam Makhachev,1806.53,2025-11-15,1806.53,0.0,18,2025-11-15
2,Kamaru Usman,1789.56,2021-11-06,1691.93,-97.63,19,2025-06-14
3,Anderson Silva,1770.22,2012-10-13,1514.12,-256.11,25,2020-10-31
4,Jon Jones,1768.72,2020-02-08,1670.18,-98.54,24,2024-11-16
5,Georges St-Pierre,1760.02,2013-11-16,1531.23,-228.79,22,2017-11-04
6,Charles Oliveira,1757.2,2022-05-07,1743.43,-13.76,37,2026-03-07
7,Alexander Volkanovski,1750.07,2022-07-02,1708.52,-41.55,18,2026-01-31
8,Merab Dvalishvili,1750.04,2025-10-04,1718.07,-31.97,17,2025-12-06
9,Tony Ferguson,1747.64,2019-06-08,1519.71,-227.94,24,2024-08-03
10,Max Holloway,1743.57,2018-12-08,1707.1,-36.47,32,2026-03-07
11,Leon Edwards,1738.08,2023-12-16,1653.33,-84.75,20,2025-11-15
12,Donald Cerrone,1738.01,2016-12-10,1518.46,-219.55,38,2022-07-02
13,Daniel Cormier,1737.02,2018-11-03,1568.45,-168.57,15,2020-08-15
14,Belal Muhammad,1736.48,2024-07-27,1680.91,-55.57,21,2025-11-22
15,Dustin Poirier,1735.41,2021-07-10,1661.97,-73.45,32,2025-07-19
16,Stipe Miocic,1733.56,2020-08-15,1588.95,-144.61,19,2024-11-16
17,Khabib Nurmagomedov,1730.42,2020-10-24,1586.67,-143.76,13,2020-10-24
18,Demetrious Johnson,1729.74,2017-10-07,1545.03,-184.71,18,2018-08-04
19,Israel Adesanya,1728.48,2022-07-02,1625.49,-102.98,18,2025-02-01
20,Ilia Topuria,1725.39,2025-06-28,1725.39,0.0,9,2025-06-28
21,Francis Ngannou,1723.33,2022-01-22,1610.91,-112.42,14,2022-01-22
22,Chris Weidman,1722.99,2015-05-23,1535.34,-187.66,20,2024-12-07
23,Chuck Liddell,1717.76,2006-12-30,1502.45,-215.31,23,2010-06-12
24,Demian Maia,1717.68,2017-05-13,1553.66,-164.01,33,2021-06-12
25,Amanda Nunes,1716.49,2021-03-06,1636.76,-79.73,18,2023-06-10
26,Khamzat Chimaev,1716.21,2025-08-16,1716.21,0.0,9,2025-08-16
27,Dricus Du Plessis,1715.33,2025-02-08,1691.39,-23.94,10,2025-08-16
28,Magomed Ankalaev,1714.79,2025-03-08,1688.59,-26.2,16,2025-10-04
29,Aljamain Sterling,1713.5,2023-05-06,1683.38,-30.12,22,2025-08-23
30,Valentina Shevchenko,1713.13,2025-11-15,1713.13,0.0,19,2025-11-15
31,Rafael Dos Anjos,1709.11,2015-12-19,1565.32,-143.78,36,2024-10-26
32,Robert Whittaker,1708.87,2021-04-17,1644.59,-64.28,24,2025-07-26
33,Glover Teixeira,1708.0,2021-10-30,1582.32,-125.68,23,2023-01-21
34,Alex Pereira,1704.51,2025-10-04,1704.51,0.0,12,2025-10-04
35,Vicente Luque,1699.58,2021-08-07,1592.84,-106.74,24,2025-10-11
36,Beneil Dariush,1698.74,2021-05-15,1622.88,-75.86,25,2025-11-15
37,Jon Fitch,1696.68,2010-08-07,1509.98,-186.7,18,2013-02-02
38,Frankie Edgar,1696.32,2017-05-13,1540.24,-156.08,30,2022-11-12
39,Cain Velasquez,1696.26,2013-10-19,1523.1,-173.16,15,2019-02-17
40,Henry Cejudo,1693.98,2020-05-09,1552.23,-141.75,16,2025-12-06
41,TJ Dillashaw,1693.76,2018-08-04,1566.35,-127.41,18,2022-10-22
42,Rashad Evans,1692.9,2012-01-28,1506.65,-186.25,23,2018-06-09
43,Alexandre Pantoja,1692.33,2025-06-28,1663.51,-28.82,18,2025-12-06
44,Petr Yan,1692.03,2025-12-06,1692.03,0.0,16,2025-12-06
45,Curtis Blaydes,1691.73,2022-07-23,1662.4,-29.33,20,2025-06-21
46,Justin Gaethje,1690.7,2026-01-24,1690.7,0.0,15,2026-01-24
47,Colby Covington,1690.28,2019-08-03,1613.44,-76.84,17,2024-12-14
48,Gilbert Burns,1689.91,2023-04-08,1597.14,-92.77,24,2025-05-17
49,Deiveson Figueiredo,1689.62,2024-08-03,1633.09,-56.53,21,2026-01-24
50,Tyron Woodley,1688.86,2018-09-08,1539.91,-148.95,16,2021-03-27
51,Johny Hendricks,1687.67,2013-03-16,1510.45,-177.22,21,2017-11-04
52,Derrick Lewis,1686.9,2021-02-20,1595.02,-91.88,31,2026-01-24
53,Matt Hughes,1685.68,2006-09-23,1505.09,-180.59,25,2011-09-24
54,Sean O'Malley,1685.2,2024-03-09,1664.31,-20.89,15,2026-01-24
55,Yoel Romero,1684.22,2016-11-12,1537.03,-147.18,13,2020-03-07
56,Movsar Evloev,1683.49,2024-12-07,1673.07,-10.42,9,2024-12-07
57,Junior Dos Santos,1683.31,2012-05-26,1525.43,-157.88,23,2020-12-12
58,Jack Della Maddalena,1682.54,2025-05-10,1669.37,-13.17,9,2025-11-15
59,Michael Bisping,1682.4,2016-10-08,1524.6,-157.79,29,2017-11-25
60,Shavkat Rakhmonov,1681.08,2024-12-07,1670.8,-10.28,7,2024-12-07
61,Robbie Lawler,1680.62,2016-01-02,1555.0,-125.62,25,2023-07-08
62,Zhang Weili,1679.25,2025-02-08,1658.34,-20.9,13,2025-11-15
63,Brendan Allen,1678.27,2024-04-06,1663.55,-14.72,18,2025-10-18
64,Derek Brunson,1677.34,2021-09-04,1573.47,-103.87,21,2023-03-04
65,Nassourdine Imavov,1677.2,2025-09-06,1677.2,0.0,12,2025-09-06
66,Ian Machado Garry,1676.52,2025-11-22,1676.52,0.0,11,2025-11-22
67,Jan Blachowicz,1675.43,2021-03-06,1606.55,-68.88,22,2025-12-06
68,Sean Brady,1674.48,2025-03-22,1648.46,-26.03,10,2025-11-15
69,Grant Dawson,1674.0,2025-01-18,1639.49,-34.51,14,2025-12-06
70,Conor McGregor,1673.45,2016-11-12,1546.92,-126.53,14,2021-07-10
71,Joseph Benavidez,1673.26,2019-06-29,1536.75,-136.51,21,2021-03-06
72,Ciryl Gane,1672.37,2024-12-07,1672.37,0.0,13,2025-10-25
73,Arman Tsarukyan,1671.98,2024-04-13,1670.56,-1.42,12,2025-11-22
74,Neil Magny,1671.06,2022-03-26,1595.52,-75.54,37,2025-12-13
75,Tom Aspinall,1670.99,2024-07-27,1661.87,-9.12,10,2025-10-25
76,Arnold Allen,1670.56,2022-10-29,1608.95,-61.61,14,2026-01-24
77,Cory Sandhagen,1670.02,2023-08-05,1650.92,-19.1,16,2025-10-04
78,Anthony Johnson,1669.59,2016-08-20,1524.79,-144.81,19,2017-04-08
79,Alexander Volkov,1669.28,2024-06-22,1667.99,-1.29,18,2025-10-25
80,Carlos Ulberg,1668.78,2025-09-27,1668.78,0.0,10,2025-09-27
81,Ryan Bader,1667.8,2016-11-19,1526.27,-141.53,20,2016-11-19
82,Benson Henderson,1667.78,2013-04-20,1518.63,-149.15,14,2015-11-28
83,Lyoto Machida,1666.44,2009-10-24,1520.67,-145.77,24,2018-05-12
84,Umar Nurmagomedov,1666.37,2026-01-24,1666.37,0.0,9,2026-01-24
85,Anthony Hernandez,1666.15,2025-08-09,1640.71,-25.44,12,2026-02-21
86,Michael Morales,1666.01,2025-11-15,1666.01,0.0,7,2025-11-15
87,Lerone Murphy,1665.63,2025-08-16,1665.63,0.0,10,2025-08-16
88,Sean Strickland,1664.41,2023-09-09,1663.83,-0.58,24,2026-02-21
89,Joaquin Buckley,1662.92,2024-12-14,1641.57,-21.35,16,2025-06-14
90,Marlon Vera,1662.24,2022-08-13,1566.34,-95.9,26,2026-02-28
91,Gray Maynard,1660.86,2010-08-28,1506.05,-154.81,20,2018-10-06
92,Darren Elkins,1659.9,2018-01-14,1560.02,-99.87,30,2025-04-12
93,Jose Aldo,1659.45,2019-02-02,1586.57,-72.88,23,2025-05-10
94,Josh Koscheck,1659.01,2012-02-04,1501.82,-157.19,25,2015-03-21
95,Gegard Mousasi,1657.89,2017-04-08,1526.92,-130.97,12,2017-04-08
96,James Vick,1657.51,2018-02-18,1513.62,-143.89,14,2019-10-12
97,Stephen Thompson,1657.34,2016-06-18,1559.88,-97.46,22,2025-07-12
98,Fabricio Werdum,1657.23,2015-06-13,1533.92,-123.31,18,2020-07-25
99,Natalia Silva,1657.09,2026-01-24,1657.09,0.0,8,2026-01-24
100,Santiago Ponzinibbio,1656.92,2018-11-17,1547.48,-109.44,20,2025-05-03
101,Brandon Moreno,1656.56,2023-01-21,1585.96,-70.6,20,2026-02-28
102,Brian Ortega,1656.32,2018-03-03,1569.29,-87.03,14,2025-08-23
103,Tito Ortiz,1656.09,2006-10-10,1501.22,-154.87,27,2012-07-07
104,Erin Blanchfield,1655.49,2025-11-15,1655.49,0.0,9,2025-11-15
105,Song Yadong,1654.26,2023-12-09,1626.47,-27.79,16,2026-01-24
106,John Lineker,1654.1,2018-05-12,1534.28,-119.82,16,2019-04-27
107,Joshua Van,1653.76,2025-12-06,1653.76,0.0,10,2025-12-06
108,BJ Penn,1653.42,2009-12-12,1462.61,-190.81,27,2019-05-11
109,Thiago Alves,1653.25,2008-10-25,1494.91,-158.34,27,2019-12-07
110,Michael Chiesa,1652.09,2021-01-20,1620.68,-31.41,21,2025-06-14
111,Randy Brown,1652.08,2024-06-01,1619.67,-32.41,21,2025-11-08
112,Rich Franklin,1651.99,2006-03-04,1504.26,-147.73,20,2012-11-10
113,Kelvin Gastelum,1651.83,2018-05-12,1571.12,-80.71,25,2025-09-13
114,Kevin Lee,1651.56,2018-04-21,1526.32,-125.24,19,2023-07-01
115,Jim Miller,1651.55,2014-04-26,1569.16,-82.39,46,2025-04-12
116,Mario Bautista,1651.4,2025-06-07,1647.07,-4.33,14,2026-02-07
117,Jacare Souza,1650.75,2018-11-03,1521.62,-129.13,16,2021-05-15
118,Manon Fiorot,1650.27,2025-10-18,1650.27,0.0,9,2025-10-18
119,Joanna Jedrzejczyk,1649.93,2017-05-13,1522.18,-127.76,15,2022-06-11
120,Rose Namajunas,1649.09,2021-11-06,1612.63,-36.46,19,2026-01-24
121,Rory MacDonald,1648.99,2014-10-04,1514.87,-134.12,13,2016-06-18
122,Kenny Florian,1648.82,2010-03-31,1505.2,-143.62,17,2011-10-08
123,Jailton Almeida,1648.52,2025-01-18,1594.56,-53.96,11,2026-02-07
124,Jessica Andrade,1648.41,2023-01-21,1542.82,-105.58,30,2025-08-16
125,Jared Cannonier,1648.19,2023-06-17,1591.17,-57.02,20,2025-08-16
126,Waldo Cortes-Acosta,1647.8,2026-01-24,1647.8,0.0,12,2026-01-24
127,Jorge Masvidal,1647.71,2019-11-02,1554.91,-92.8,22,2023-04-08
128,Benoit Saint Denis,1646.78,2026-01-31,1646.78,0.0,12,2026-01-31
129,Mike Swick,1646.68,2009-06-13,1501.74,-144.94,15,2015-07-11
130,Yushin Okami,1646.45,2013-03-02,1505.81,-140.63,21,2018-12-01
131,Edson Barboza,1646.38,2017-03-11,1531.34,-115.04,32,2025-12-06
132,Francisco Trinaldo,1645.82,2016-09-24,1570.47,-75.35,26,2022-10-01
133,Thiago Santos,1644.81,2019-02-23,1530.95,-113.86,24,2022-08-06
134,Luke Rockhold,1644.38,2015-12-12,1514.66,-129.72,11,2022-08-20
135,Raphael Assuncao,1644.27,2018-07-07,1522.15,-122.12,19,2023-03-11
136,Josh Emmett,1644.09,2022-06-18,1569.73,-74.35,16,2025-10-04
137,Diego Sanchez,1642.73,2009-06-20,1510.6,-132.13,32,2020-09-26
138,Renato Moicano,1642.58,2024-09-28,1608.59,-34.0,19,2025-06-28
139,Michel Prazeres,1642.48,2018-11-17,1522.87,-119.6,14,2021-06-26
140,Caio Borralho,1641.94,2024-08-24,1639.54,-2.4,9,2026-03-07
141,Mateusz Gamrot,1641.8,2024-03-09,1622.94,-18.86,12,2025-10-11
142,Dong Hyun Kim,1641.43,2014-03-01,1520.64,-120.78,18,2017-06-17
143,Royce Gracie,1641.23,1994-12-16,1500.05,-141.18,10,2006-05-27
144,Paddy Pimblett,1640.96,2025-04-12,1621.5,-19.45,8,2026-01-24
145,Renan Barao,1640.74,2014-02-01,1475.19,-165.55,17,2019-11-16
146,Carlos Prates,1640.29,2025-11-15,1640.29,0.0,7,2025-11-15
147,Tatsuro Taira,1639.53,2025-12-06,1639.53,0.0,9,2025-12-06
148,Alexander Gustafsson,1639.07,2014-03-08,1509.95,-129.12,18,2022-07-23
149,George Sotiropoulos,1639.02,2010-11-20,1501.38,-137.64,11,2013-10-19
150,Sergei Pavlovich,1639.0,2025-08-23,1639.0,0.0,11,2025-08-23
151,Cub Swanson,1638.94,2017-04-22,1574.18,-64.76,25,2024-12-14
152,Raquel Pennington,1638.72,2024-01-20,1599.28,-39.44,19,2024-10-05
153,Jonathan Martinez,1638.53,2023-10-14,1583.15,-55.38,15,2024-11-16
154,Phil Davis,1638.47,2013-08-03,1511.39,-127.07,13,2015-01-24
155,Don Frye,1638.2,1996-12-07,1500.25,-137.95,10,1996-12-07
156,Matt Brown,1637.69,2014-05-10,1531.05,-106.63,30,2023-05-13
157,Gregory Rodrigues,1637.3,2026-03-07,1637.3,0.0,13,2026-03-07
158,Dan Hooker,1637.14,2020-02-22,1579.93,-57.21,24,2026-01-31
159,Michel Pereira,1636.11,2024-05-04,1565.43,-70.68,15,2026-02-21
160,Dan Severn,1636.0,1996-05-17,1500.16,-135.83,13,2000-09-22
161,Norma Dumont,1635.36,2025-11-01,1635.36,0.0,11,2025-11-01
162,Alistair Overeem,1635.04,2017-07-08,1542.08,-92.97,20,2021-02-06
163,Diego Ferreira,1634.62,2020-01-18,1556.9,-77.72,17,2025-09-13
164,Rustam Khabilov,1634.26,2018-09-15,1537.62,-96.64,13,2019-11-09
